Timestamp: 2026-05-02T12:17:25+02:00
Run type: realtime
Name: Realtime Moving Target

Realtime scenario summary
-------------------------
Name: Realtime Moving Target
Duration: 12.00 s
Refresh interval: 0.25 s
Noise power (dB): -75.00
Clutter amplitude (dB): -45.00
Targets: 3
  1. Target 1: distance=1000.00 m, closing_speed=10.00 m/s, amplitude=-18.00 dB
  2. 2000: distance=2000.00 m, closing_speed=20.00 m/s, amplitude=-16.00 dB
  3. Target 3: distance=1300.00 m, closing_speed=-7.00 m/s, amplitude=-15.00 dB

Live updates
------------
t=  6.75s | detections=  6 | truth: Target 1: R=932.50m V=10.00m/s | 2000: R=1865.00m V=20.00m/s | Target 3: R=1347.25m V=-7.00m/s | primary: R=1350.00m V=-7.81m/s Power=17.42dB
t=  7.00s | detections=  6 | truth: Target 1: R=930.00m V=10.00m/s | 2000: R=1860.00m V=20.00m/s | Target 3: R=1349.00m V=-7.00m/s | primary: R=1860.00m V=19.53m/s Power=17.89dB
t=  7.25s | detections=  5 | truth: Target 1: R=927.50m V=10.00m/s | 2000: R=1855.00m V=20.00m/s | Target 3: R=1350.75m V=-7.00m/s | primary: R=1350.00m V=-7.81m/s Power=17.84dB
t=  7.50s | detections=  5 | truth: Target 1: R=925.00m V=10.00m/s | 2000: R=1850.00m V=20.00m/s | Target 3: R=1352.50m V=-7.00m/s | primary: R=1350.00m V=-7.81m/s Power=17.44dB
t=  7.75s | detections=  6 | truth: Target 1: R=922.50m V=10.00m/s | 2000: R=1845.00m V=20.00m/s | Target 3: R=1354.25m V=-7.00m/s | primary: R=1845.00m V=19.53m/s Power=17.99dB
t=  8.00s | detections=  6 | truth: Target 1: R=920.00m V=10.00m/s | 2000: R=1840.00m V=20.00m/s | Target 3: R=1356.00m V=-7.00m/s | primary: R=1845.00m V=19.53m/s Power=16.46dB
t=  8.25s | detections=  5 | truth: Target 1: R=917.50m V=10.00m/s | 2000: R=1835.00m V=20.00m/s | Target 3: R=1357.75m V=-7.00m/s | primary: R=1830.00m V=19.53m/s Power=16.52dB
t=  8.50s | detections=  5 | truth: Target 1: R=915.00m V=10.00m/s | 2000: R=1830.00m V=20.00m/s | Target 3: R=1359.50m V=-7.00m/s | primary: R=1830.00m V=19.53m/s Power=18.06dB
t=  8.75s | detections=  5 | truth: Target 1: R=912.50m V=10.00m/s | 2000: R=1825.00m V=20.00m/s | Target 3: R=1361.25m V=-7.00m/s | primary: R=1365.00m V=-7.81m/s Power=17.00dB
t=  9.00s | detections=  7 | truth: Target 1: R=910.00m V=10.00m/s | 2000: R=1820.00m V=20.00m/s | Target 3: R=1363.00m V=-7.00m/s | primary: R=1365.00m V=-7.81m/s Power=17.66dB
t=  9.25s | detections=  5 | truth: Target 1: R=907.50m V=10.00m/s | 2000: R=1815.00m V=20.00m/s | Target 3: R=1364.75m V=-7.00m/s | primary: R=1815.00m V=19.53m/s Power=18.13dB
t=  9.50s | detections=  6 | truth: Target 1: R=905.00m V=10.00m/s | 2000: R=1810.00m V=20.00m/s | Target 3: R=1366.50m V=-7.00m/s | primary: R=1365.00m V=-7.81m/s Power=17.78dB
t=  9.75s | detections=  6 | truth: Target 1: R=902.50m V=10.00m/s | 2000: R=1805.00m V=20.00m/s | Target 3: R=1368.25m V=-7.00m/s | primary: R=1365.00m V=-7.81m/s Power=17.23dB
t= 10.00s | detections=  5 | truth: Target 1: R=900.00m V=10.00m/s | 2000: R=1800.00m V=20.00m/s | Target 3: R=1370.00m V=-7.00m/s | primary: R=1800.00m V=19.53m/s Power=18.06dB
t= 10.25s | detections=  6 | truth: Target 1: R=897.50m V=10.00m/s | 2000: R=1795.00m V=20.00m/s | Target 3: R=1371.75m V=-7.00m/s | primary: R=1800.00m V=19.53m/s Power=16.52dB
t= 10.50s | detections=  4 | truth: Target 1: R=895.00m V=10.00m/s | 2000: R=1790.00m V=20.00m/s | Target 3: R=1373.50m V=-7.00m/s | primary: R=1785.00m V=19.53m/s Power=16.59dB
t= 10.75s | detections=  5 | truth: Target 1: R=892.50m V=10.00m/s | 2000: R=1785.00m V=20.00m/s | Target 3: R=1375.25m V=-7.00m/s | primary: R=1785.00m V=19.53m/s Power=18.23dB
t= 11.00s | detections=  4 | truth: Target 1: R=890.00m V=10.00m/s | 2000: R=1780.00m V=20.00m/s | Target 3: R=1377.00m V=-7.00m/s | primary: R=1380.00m V=-7.81m/s Power=17.39dB
t= 11.25s | detections=  4 | truth: Target 1: R=887.50m V=10.00m/s | 2000: R=1775.00m V=20.00m/s | Target 3: R=1378.75m V=-7.00m/s | primary: R=1380.00m V=-7.81m/s Power=17.88dB
t= 11.50s | detections=  5 | truth: Target 1: R=885.00m V=10.00m/s | 2000: R=1770.00m V=20.00m/s | Target 3: R=1380.50m V=-7.00m/s | primary: R=1770.00m V=19.53m/s Power=18.17dB
t= 11.75s | detections=  5 | truth: Target 1: R=882.50m V=10.00m/s | 2000: R=1765.00m V=20.00m/s | Target 3: R=1382.25m V=-7.00m/s | primary: R=1380.00m V=-7.81m/s Power=17.61dB
t= 12.00s | detections=  4 | truth: Target 1: R=880.00m V=10.00m/s | 2000: R=1760.00m V=20.00m/s | Target 3: R=1384.00m V=-7.00m/s | primary: R=1380.00m V=-7.81m/s Power=16.90dB
